pid,baseline_mean,best_field,best_delta,best_mean,improvement
p001,40.42697525024414,anxious_num,-1.0,41.244998931884766,0.818023681640625
p002,28.553747177124023,active_num,-1.0,29.495086669921875,0.9413394927978516
p003,23.909719467163086,anxious_num,-1.0,26.545583724975586,2.6358642578125
p004,26.026121139526367,anxious_num,-1.0,27.481534957885742,1.455413818359375
p005,26.428171157836914,engaged_num,1.0,27.31964683532715,0.8914756774902344
p006,28.840219497680664,engaged_num,1.0,30.48320960998535,1.6429901123046875
p007,27.798927307128906,engaged_num,1.0,28.8857364654541,1.0868091583251953
p008,28.438390731811523,engaged_num,1.0,29.653417587280273,1.21502685546875
p009,22.58516502380371,active_num,1.0,24.03690528869629,1.4517402648925781
p010,29.257972717285156,engaged_num,1.0,30.756921768188477,1.4989490509033203
p011,20.140607833862305,anxious_num,-1.0,21.197872161865234,1.0572643280029297
p012,24.388029098510742,anxious_num,-1.0,25.73766326904297,1.3496341705322266
p013,24.09478759765625,active_num,-1.0,24.9545841217041,0.8597965240478516
p014,29.968015670776367,anxious_num,-1.0,32.78885269165039,2.8208370208740234
p015,37.2205810546875,active_num,-1.0,40.01113510131836,2.7905540466308594
p016,29.161636352539062,anxious_num,-1.0,29.828750610351562,0.6671142578125
p017,30.070314407348633,active_num,-1.0,31.712961196899414,1.6426467895507812
p018,26.1629695892334,engaged_num,1.0,27.099416732788086,0.9364471435546875
p019,23.387649536132812,engaged_num,1.0,24.321365356445312,0.9337158203125
p020,26.835500717163086,engaged_num,1.0,28.42338752746582,1.5878868103027344
p021,24.007919311523438,engaged_num,1.0,24.352256774902344,0.34433746337890625
p022,27.99007225036621,engaged_num,1.0,28.660186767578125,0.6701145172119141
p023,19.000885009765625,anxious_num,-1.0,20.774864196777344,1.7739791870117188
p024,24.011865615844727,active_num,-1.0,25.686742782592773,1.6748771667480469
p025,24.637557983398438,active_num,-1.0,25.748132705688477,1.110574722290039
p026,35.58872604370117,engaged_num,1.0,37.567413330078125,1.9786872863769531
p027,27.433473587036133,active_num,-1.0,29.57501220703125,2.141538619995117
p028,21.387916564941406,active_num,-1.0,22.19136619567871,0.8034496307373047
p029,26.063568115234375,active_num,-1.0,27.94223976135254,1.878671646118164
p030,29.402297973632812,social_num,-1.0,30.131677627563477,0.7293796539306641
p031,26.7906436920166,active_num,-1.0,28.697021484375,1.9063777923583984
p032,29.285018920898438,active_num,-1.0,33.66593551635742,4.380916595458984
p033,28.955480575561523,anxious_num,-1.0,32.51851272583008,3.5630321502685547
